,,,२०८३ सालको वार्षिक कार्यपात्रो (मस्यौदा ),
क्र .स.,महिना ,गते  देखि -सम्म ,कार्यक्रम ,विदा 
१,बैशाख ,"१ ,",नयाँवर्ष ,१ गते नयाँ वर्ष 
,,"२ - ८,",शै. स. २०८३ को नतिजा तथा शैक्षिक उपलब्धी विश्लेषण एवं पुनः परीक्षा संचालन ,१८ गते मजदुर दिवस 
,,"९,",शिक्षक स्टाफ तथा वि.व्य.स.को संयुक्त  बैठक ,
,,"२-१४,",शै.स.२०८३ को वार्षिक कार्य योजना निर्माण SIP निर्माण र अद्यावधिक ,
,,,"TIP निर्माण , वार्षिक कार्यतालिका / शैक्षणिक योजना तयारी ",
,,"१५,",नयाँ शैक्षिक सत्र शुरु ,
,,१३-१६ ,विद्यालयको वार्षिकोत्सवको सन्दर्भमा विविध अतिरिक्त क्रियाकलापहरु ,
,,"१७,",विद्यालयको ७४औं वार्षिकोत्सव समारोह एवं अभिभावक भेला ,
,,१५-२१ ,"नयाँ भर्ना अभियान, विद्यालय हाता सरसफाई, पाठ्यपुस्तक वितरण, ",
,,,"पठनपाठन पूर्व भौतिक संरचना मर्मत तयारी, दैनिक कार्यतालिका एवं कार्यबिभाजन ",
,,२१गते देखि ,नियमित पठनपाठन शुरु ,
,,२१-२३ ,डिजिटल शैक्षिक सामग्री निर्माण कार्यशाला ,
,,"२५,","विश्व रेडक्रस दिवस, सदन बिभाजन, बाल क्लव पुनर्गठन, यु.रे.स. गठन, स्काउट कार्य विभाजन ",
,,"३१,",स्टाफ मिटिंग / EMIS अपडेट ,
,,,,
२,जेठ ,"३ - ७ ,","हस्त लेखन अभ्यास ,कक्षा ११को वार्षिक परीक्षा शुरु ,कृषि तर्फ नयाँ भर्ना शुरु ",१४गते बकर इद (सम्भावित)
,,"८, ","चित्रकला प्रतियोगिता सबै तह ,कृषि तर्फ स्थानीय स्तरमा संचालित कृषि फर्म अवलोकन भ्रमण ",१५गते गणतन्त्र दिवस 
,,"१०-१४,",सहपाठी कक्षा अवलोकन तथा पुनर्वल ,
,,१५सम्म , शिक्षकको का.स.मू. विद्यालयमा  दर्ता गरिसक्ने ,
,,"२२,",कक्षा ६ -१०को निबन्ध लेखन प्रतियोगिता ,
,,"३१, ",शिक्षक स्टाफ  बैठक ,
,,,,
३,असार ,"१-९, ",प्रथम त्रैमासिक परीक्षा ,१०-३२ सम्म वर्षे विदा 
,,"५, ",English Spelling Contest (६-१०),२९ भानु जयन्ती ( गण्डकी प्रदेश विदा) 
,,"८-९,",वाल क्लव र स्काउटका विद्यार्थीहरुको सक्रियतामा विद्यालयको खेल मैदानमा दुवो रोप्ने ,
,,,,
४,साउन ,"२५ ,","विद्यालय खुल्ने , सरसफाई कार्यक्रम ",१-२२ सम्म वर्षे विदा 
,,"२९,",कृषिका विद्यार्थीहरुका बिचमा निबन्ध लेखन प्रतियोगिता ,
,,"३१,",शिक्षक स्टाफ वैठक ,
,,,,
५,भदौ ,"५,",हाजिरी जवाफ प्रतियोगिता (१-५/६-१०),१गते नाग पंचमी( स्थानीय विदा )
,,"२६,",तीज गीत प्रतियोगिता (६-१२),१२ गते जनै पूर्णिमा 
,,"२९,",राष्ट्रिय वाल दिवस मनाउने ,१९ गते कृष्णाष्टमी 
,,,,२९ गते हरितालिका तीज (महिला विदा)
६,असौज ,"२,",नेपाली हिज्जे प्रतियोगिता ( मा.वि. तह ),३गते संबिधान दिवस 
,,"१२-२०,",द्वितीय त्रैमासिक परीक्षा ,२५ गते घटस्थापना 
,,"२३,",स्काउट तथा वाल क्लव को सक्रियतामा विद्यालय हाता सरसफाई + नतिजा प्रकाशन एवं शुभकामना आदानप्रदान / अभिभावक भेला ,२६-३१ सम्म दशैं विदा 
,,,,
,,,,
७,कार्तिक ,"१०,",विद्यालय खुल्ने ,१-९ सम्म दशैं विदा 
,,"१३,",राष्ट्रपति रनिंग शिल्ड छनौट खेलकुद प्रतियोगिता / scouting ,९ गते कोजाग्रत पूर्णिमा (गण्डकी प्रदेश विदा )
,,"१५-१६,",खेलकुद अभ्यास ,२२-२६ तिहार विदा 
,,"१७-१९, ",राष्ट्रपति रनिंग शिल्ड खेलकुद प्रतियोगिता (गाउँपालिकामा)  ,२७ गते स्थानीय विदा 
,,,,३० गते स्थानीय विदा 
,,,,
८,मङ्सिर ,"११,","हिसाव दौड प्रतियोगिता (१-८),कृषि सम्बन्धी सचेतनामूलक भित्तेपोस्टर बनाउने प्रतियोगिता ",४गते ठुली एकादशी (स्थानीय विदा)
